id,age,income,highest_degree,self_learning_hours,favourite_domain
82,42,9,PhD,0.89,Cybersecurity
83,40,44,Bachelor,0.89,Software Engineering
84,43,47,Master,3.46,Data Science
85,40,87,PhD,2.72,Business Analytics
86,39,8,High School,3.51,Data Science
87,29,79,Master,0.15,Business Analytics
88,45,49,Master,1.75,Business Analytics
89,25,54,Bachelor,1.02,Cybersecurity
90,18,71,Bachelor,1.46,AI
91,60,47,Master,2.65,AI
92,64,43,Master,2.67,Data Science
93,43,94,Master,2.22,Software Engineering
94,44,90,PhD,2.71,Software Engineering
95,57,77,Master,1.62,AI
96,37,41,Bachelor,1.72,Business Analytics
97,56,88,Master,1.86,Cybersecurity
98,61,32,PhD,3.17,Software Engineering
99,60,15,Master,2.06,Business Analytics
100,39,16,Bachelor,2.69,Software Engineering
101,69,30,Bachelor,0.1,Software Engineering
102,48,83,High School,1.82,Business Analytics
103,30,96,PhD,1.98,Software Engineering
104,27,88,High School,3.57,AI
105,67,59,Bachelor,0.7,Business Analytics
106,47,11,Bachelor,3.67,AI
107,47,22,PhD,2.67,Business Analytics
108,56,45,PhD,2.45,Business Analytics
109,45,75,PhD,3.59,Cybersecurity
110,46,38,Bachelor,3.36,Data Science
111,67,71,PhD,2.51,Data Science
112,46,14,Master,0.94,Data Science
113,38,74,High School,0.55,Software Engineering
114,42,93,Bachelor,2.83,AI
115,44,57,Master,2.17,Cybersecurity
116,21,31,PhD,1.56,Business Analytics
117,62,7,PhD,1.91,Data Science
118,37,54,PhD,2.15,Business Analytics
119,69,82,Bachelor,1.95,Data Science
120,45,67,High School,1.56,Cybersecurity
121,64,26,PhD,3.68,Business Analytics
122,52,8,PhD,2.37,AI
123,23,87,PhD,0.54,Cybersecurity
124,29,11,Master,1.52,Software Engineering
125,47,46,Master,3.04,Cybersecurity
126,35,58,Master,3.34,Cybersecurity
127,19,100,High School,4.0,Data Science
128,32,88,High School,3.12,AI
129,66,8,Bachelor,0.8,AI
130,57,24,Bachelor,0.5,AI
131,54,32,PhD,2.8,Data Science
132,28,82,High School,3.11,Software Engineering
133,37,18,High School,3.72,Business Analytics
134,61,53,PhD,3.77,Software Engineering
135,22,80,Bachelor,0.41,Data Science
136,61,81,High School,3.18,Business Analytics
137,68,10,Master,2.13,Data Science
138,22,69,Master,0.05,Cybersecurity
139,70,67,High School,1.73,Data Science
140,58,63,Bachelor,1.74,Business Analytics
141,59,39,PhD,1.86,Business Analytics
142,35,46,Bachelor,3.32,AI
143,35,62,Bachelor,3.0,Business Analytics
144,57,90,PhD,1.35,Cybersecurity
145,38,28,PhD,0.85,Data Science
146,39,40,Master,2.22,Business Analytics
147,30,15,Bachelor,2.88,Cybersecurity
148,53,35,PhD,2.58,Cybersecurity
149,46,7,High School,1.18,Cybersecurity
150,62,36,Master,2.66,Data Science
151,48,75,Master,1.7,Business Analytics
152,39,50,PhD,1.08,Data Science
153,32,20,Bachelor,1.26,Business Analytics
154,66,93,Bachelor,0.77,Cybersecurity
155,35,97,Master,3.92,Software Engineering
156,36,34,Master,0.72,AI
157,63,73,Bachelor,1.1,AI
158,53,42,Bachelor,2.55,Cybersecurity
159,24,6,Master,1.88,Cybersecurity
160,39,28,High School,1.01,Cybersecurity
161,25,13,PhD,1.97,Business Analytics
162,58,92,High School,0.61,Business Analytics
163,37,15,Bachelor,0.47,Cybersecurity
164,56,81,Bachelor,3.1,Cybersecurity
165,46,61,Master,3.44,Cybersecurity
166,37,77,High School,2.44,AI
167,66,31,Bachelor,1.06,AI
168,28,35,Bachelor,2.21,Software Engineering
169,18,57,PhD,2.76,Cybersecurity
170,36,9,Bachelor,1.15,Data Science
171,62,63,High School,2.75,Data Science
172,68,85,Bachelor,1.7,Business Analytics
173,32,87,Bachelor,3.63,Software Engineering
174,22,12,Bachelor,3.17,Business Analytics
175,65,77,Master,1.76,Cybersecurity
176,62,43,PhD,3.77,Business Analytics
177,52,68,PhD,0.32,AI
178,45,99,Master,2.41,AI
179,23,34,High School,4.0,Data Science
180,54,10,Bachelor,1.88,Cybersecurity
181,35,28,PhD,2.54,Cybersecurity
182,23,65,Master,1.63,Data Science
183,60,18,Bachelor,1.32,Cybersecurity
184,36,89,PhD,3.25,Business Analytics
185,20,63,High School,1.26,Data Science
186,25,56,High School,2.63,Business Analytics
187,47,57,High School,0.75,Data Science
188,57,68,PhD,3.04,Software Engineering
189,35,75,Bachelor,3.71,Cybersecurity
190,62,67,High School,0.12,Business Analytics
191,69,35,Bachelor,1.24,AI
192,53,57,High School,0.9,AI
193,47,20,Bachelor,1.99,Data Science
194,50,95,Master,1.66,Cybersecurity
195,48,36,PhD,2.21,Cybersecurity
196,30,81,Bachelor,3.46,Data Science
197,67,58,Master,3.74,Business Analytics
198,35,5,Master,2.9,Business Analytics
199,55,89,PhD,3.46,Cybersecurity
200,52,66,Master,1.33,Business Analytics
201,42,63,Master,3.48,Software Engineering
202,54,54,Bachelor,3.42,Cybersecurity
203,20,45,PhD,2.82,Cybersecurity
204,42,89,Bachelor,1.98,AI
205,26,69,Master,3.48,Cybersecurity
206,24,72,PhD,0.06,Software Engineering
207,44,88,Bachelor,0.3,Data Science
208,39,84,PhD,2.6,Data Science
209,61,73,PhD,3.82,Cybersecurity
210,52,9,High School,0.94,Data Science
211,32,100,High School,1.74,AI
212,66,86,High School,1.77,Data Science
213,19,10,Master,3.18,Data Science
214,40,52,PhD,0.58,Business Analytics
215,44,77,Bachelor,0.68,AI
216,57,53,Bachelor,1.99,Business Analytics
217,27,34,PhD,2.55,Cybersecurity
218,34,90,High School,3.6,Cybersecurity
219,36,91,Bachelor,0.3,Data Science
220,55,43,PhD,2.76,Cybersecurity
221,37,30,PhD,3.41,AI
222,33,53,Master,2.3,Data Science
223,19,89,PhD,1.1,Business Analytics
224,61,100,High School,3.64,Cybersecurity
225,36,34,Master,0.88,Software Engineering
226,57,37,Bachelor,2.51,AI
227,37,61,High School,2.32,Software Engineering
228,23,42,Master,2.99,Software Engineering
229,30,21,Master,2.12,Data Science
230,28,37,PhD,3.87,Data Science
231,65,48,High School,1.87,AI
232,27,33,PhD,3.87,Business Analytics
233,41,16,PhD,0.06,Business Analytics
234,25,63,Master,2.69,Data Science
235,55,53,Master,0.43,Software Engineering
236,48,8,Master,3.66,Software Engineering
237,59,13,PhD,3.64,Data Science
238,59,57,High School,0.56,AI
239,37,68,High School,0.39,Business Analytics
240,26,54,PhD,1.48,Business Analytics
241,44,80,Bachelor,3.54,AI
242,49,83,PhD,3.76,Data Science
243,20,93,Master,0.87,Cybersecurity
244,33,51,High School,3.92,Data Science
245,52,87,Master,0.24,Data Science
246,30,20,PhD,0.37,Software Engineering
247,59,86,High School,0.2,Data Science
248,33,21,Bachelor,0.27,Business Analytics
249,31,80,Bachelor,3.25,Software Engineering
250,39,23,High School,1.11,Software Engineering
251,26,74,Master,3.19,AI
252,60,8,Bachelor,0.06,Software Engineering
253,55,46,High School,0.7,AI
254,26,99,PhD,2.1,AI
255,48,62,Master,2.05,AI
256,46,69,Bachelor,3.78,AI
257,64,89,Master,1.83,AI
258,21,66,PhD,1.71,AI
259,49,96,PhD,0.29,AI
260,38,82,Bachelor,0.26,Data Science
261,57,86,Master,1.52,Business Analytics
262,51,42,PhD,2.02,Cybersecurity
263,24,94,High School,3.41,Business Analytics
264,64,32,PhD,1.81,Software Engineering
265,44,48,PhD,1.59,AI
266,38,59,Master,2.66,Data Science
267,27,92,PhD,0.27,AI
268,23,60,High School,2.98,Data Science
269,69,21,High School,2.35,Business Analytics
270,53,47,High School,1.64,Cybersecurity
271,64,11,Master,2.4,Data Science
272,24,78,Bachelor,0.62,Cybersecurity
273,32,18,Master,3.38,Data Science
274,25,40,Bachelor,3.23,Business Analytics
275,67,84,High School,2.44,Data Science
276,19,28,Master,2.81,Data Science
277,39,49,High School,0.73,Software Engineering
278,54,89,PhD,0.28,AI
279,23,100,Bachelor,1.5,Cybersecurity
280,39,25,Master,1.25,Data Science
281,67,77,High School,3.53,Software Engineering
282,28,84,High School,2.7,Data Science
283,46,89,PhD,1.94,Cybersecurity
284,44,39,Bachelor,3.02,AI
285,40,60,High School,1.13,Business Analytics
286,49,72,Master,0.18,Cybersecurity
287,56,12,High School,0.82,Software Engineering
288,67,22,Master,1.16,AI
289,18,68,PhD,0.7,Cybersecurity
290,52,95,Bachelor,2.0,Data Science
291,22,55,High School,1.74,Cybersecurity
292,22,45,PhD,2.29,Cybersecurity
293,36,19,PhD,0.08,Data Science
294,28,84,PhD,3.33,Data Science
295,23,60,High School,0.97,Business Analytics
296,43,72,High School,1.58,Data Science
297,65,48,Bachelor,1.33,Software Engineering
298,22,70,High School,2.12,Software Engineering
299,67,49,Master,2.91,Software Engineering
300,33,18,Bachelor,1.02,Software Engineering
301,56,24,High School,0.71,Cybersecurity
302,47,77,PhD,2.72,Business Analytics
303,59,86,Master,3.46,Data Science
304,27,61,High School,1.88,Data Science
305,68,40,High School,1.41,AI
306,37,64,PhD,0.15,Data Science
307,36,14,High School,2.46,Business Analytics
308,42,64,High School,1.8,Business Analytics
309,59,29,Master,2.42,Business Analytics
310,27,12,PhD,0.41,Data Science
311,63,15,Bachelor,0.16,Cybersecurity
312,46,72,Bachelor,1.46,Data Science
313,42,57,Master,2.72,AI
314,68,85,Master,0.26,AI
315,53,91,PhD,1.14,Business Analytics
316,27,47,High School,2.33,Software Engineering
317,40,44,PhD,0.52,AI
318,37,76,PhD,2.57,Data Science
319,70,21,High School,2.58,Cybersecurity
320,50,51,High School,1.45,Software Engineering
321,31,48,PhD,0.77,Software Engineering
322,27,14,Master,3.38,AI
323,50,74,High School,2.65,Business Analytics
324,26,81,PhD,0.62,Software Engineering
325,62,84,Bachelor,2.88,AI
326,44,51,Bachelor,3.88,Business Analytics
327,36,100,PhD,0.94,Software Engineering
328,37,65,Bachelor,1.47,Business Analytics
329,46,64,Master,3.11,Business Analytics
330,51,58,Bachelor,3.27,Business Analytics
331,26,37,High School,2.56,Data Science
332,53,18,High School,1.14,Software Engineering
333,35,62,Bachelor,3.32,AI
334,32,62,Master,3.72,Cybersecurity
335,21,55,Master,0.94,AI
336,41,33,High School,1.27,AI
337,63,88,Master,3.17,Software Engineering
338,20,41,PhD,2.78,Software Engineering
339,66,95,PhD,1.79,AI
340,23,7,Master,0.86,Software Engineering
341,53,98,PhD,0.44,Data Science
342,33,43,High School,0.19,Cybersecurity
343,58,84,PhD,0.25,Cybersecurity
344,56,73,High School,2.53,Business Analytics
345,33,96,Bachelor,1.17,AI
346,57,50,Bachelor,2.28,Software Engineering
347,60,90,High School,2.09,Data Science
348,22,72,High School,1.56,Cybersecurity
349,20,86,PhD,3.92,Data Science
350,65,7,Master,3.15,Data Science
351,33,98,High School,3.09,Data Science
352,26,10,Master,2.18,Software Engineering
353,67,92,PhD,3.92,Cybersecurity
354,58,28,Bachelor,0.25,Cybersecurity
355,20,42,Bachelor,0.18,Software Engineering
356,20,45,Master,2.06,Business Analytics
357,48,37,High School,3.01,Software Engineering
358,36,50,High School,3.46,Data Science
359,35,20,Master,1.75,Cybersecurity
360,65,61,PhD,1.36,Software Engineering
361,49,93,PhD,1.47,Business Analytics
362,35,15,PhD,0.32,Business Analytics
363,70,28,Master,1.28,AI
364,38,89,Master,1.23,Business Analytics
365,63,59,Bachelor,2.76,Data Science
366,46,10,Master,2.46,Cybersecurity
367,35,86,High School,0.3,Cybersecurity
368,41,70,Bachelor,3.81,Software Engineering
369,56,91,PhD,0.14,AI
370,33,87,Master,1.45,Business Analytics
371,20,82,Bachelor,2.72,Data Science
372,41,61,High School,2.3,Business Analytics
373,41,55,Master,2.6,Software Engineering
374,25,8,Bachelor,2.0,Cybersecurity
375,53,20,Master,3.1,Cybersecurity
376,31,83,Master,2.78,Cybersecurity
377,30,20,Bachelor,3.41,Cybersecurity
378,29,96,PhD,3.99,Data Science
379,60,49,High School,2.2,Data Science
380,37,25,Bachelor,3.17,Business Analytics
381,32,20,Bachelor,3.17,Software Engineering
382,68,68,High School,1.44,Business Analytics
383,41,64,Bachelor,2.45,AI
384,22,44,PhD,4.0,Cybersecurity
385,51,57,PhD,3.29,AI
386,26,45,High School,1.8,Business Analytics
387,40,21,Bachelor,3.07,Software Engineering
388,45,69,High School,3.33,Business Analytics
389,27,43,Bachelor,0.65,Software Engineering
390,40,71,Master,3.38,Data Science
391,30,86,Master,0.5,Data Science
392,57,73,High School,2.01,Software Engineering
393,55,79,Bachelor,0.68,Business Analytics
394,64,82,Master,3.37,Business Analytics
395,20,8,High School,0.18,Business Analytics
396,34,88,Bachelor,3.07,Cybersecurity
397,57,86,High School,1.99,Business Analytics
398,36,87,Master,1.93,Cybersecurity
399,37,63,High School,2.75,Software Engineering
400,46,58,PhD,1.86,Data Science
401,56,23,Master,3.45,Data Science
402,64,49,PhD,0.52,Data Science
403,50,76,High School,1.28,Cybersecurity
404,25,39,PhD,0.99,AI
405,21,42,PhD,3.46,Cybersecurity
406,33,25,Master,3.74,Data Science
407,30,25,PhD,3.98,Cybersecurity
408,49,44,PhD,0.09,Cybersecurity
409,50,63,Bachelor,0.86,Data Science
410,21,11,Master,1.98,Cybersecurity
411,36,73,High School,3.39,Cybersecurity
412,26,38,Master,3.06,Data Science
413,20,56,High School,2.28,Software Engineering
414,41,75,Master,0.29,Business Analytics
415,46,75,Master,3.3,Business Analytics
416,61,83,High School,0.51,AI
417,43,52,Master,2.23,Data Science
418,66,23,Bachelor,2.41,Cybersecurity
419,50,10,High School,0.16,Data Science
420,69,65,PhD,0.6,Business Analytics
421,26,46,Master,0.65,Business Analytics
422,65,43,Master,2.03,Business Analytics
423,52,67,Master,1.9,AI
424,41,47,High School,3.92,Business Analytics
425,37,97,High School,2.39,Data Science
426,59,79,Bachelor,2.89,Business Analytics
427,48,26,PhD,0.59,Software Engineering
428,20,78,High School,0.76,Cybersecurity
429,38,58,Bachelor,1.65,Software Engineering
430,44,69,PhD,3.49,AI
431,63,22,Bachelor,2.24,Cybersecurity
432,51,53,Master,3.83,Cybersecurity
433,52,48,Master,2.7,Data Science
434,57,66,Bachelor,3.83,Data Science
435,53,43,Bachelor,3.77,Data Science
436,67,41,Bachelor,2.76,Cybersecurity
437,38,66,Master,2.24,Data Science
438,36,20,PhD,3.58,Cybersecurity
439,70,49,Bachelor,1.16,Data Science
440,63,15,Master,3.7,Data Science
441,65,66,Bachelor,0.81,Business Analytics
442,35,76,Master,0.55,Business Analytics
443,65,80,Bachelor,0.97,Business Analytics
444,32,86,Bachelor,0.21,Cybersecurity
445,39,96,PhD,0.4,Software Engineering
446,18,75,Bachelor,1.63,Cybersecurity
447,48,88,Bachelor,3.02,Data Science
448,38,41,High School,3.63,AI
449,59,78,Bachelor,2.14,AI
450,29,58,Bachelor,3.74,AI
451,43,68,Bachelor,3.75,Data Science
452,20,6,Master,2.27,AI
453,39,41,PhD,3.96,Business Analytics
454,51,68,Bachelor,3.4,Cybersecurity
455,35,29,High School,1.32,Cybersecurity
456,59,37,Bachelor,0.06,Data Science
457,68,42,Bachelor,0.7,Cybersecurity
458,70,59,Master,0.35,AI
459,29,22,PhD,1.29,Software Engineering
460,18,38,PhD,0.94,Data Science
461,39,43,High School,1.05,Data Science
462,62,35,High School,2.67,Cybersecurity
463,37,25,PhD,2.74,Data Science
464,62,20,Master,1.47,Software Engineering
465,32,22,PhD,0.61,Business Analytics
466,41,58,PhD,3.03,Software Engineering
467,66,36,High School,2.1,Business Analytics
468,63,51,High School,3.67,AI
469,21,75,Bachelor,2.29,Software Engineering
470,28,46,PhD,0.46,Software Engineering
471,63,79,PhD,0.36,Business Analytics
472,46,12,PhD,0.53,Cybersecurity
473,47,77,High School,2.24,Data Science
474,64,7,PhD,1.02,AI
475,65,32,High School,0.18,Data Science
476,62,13,High School,3.74,AI
477,48,9,Master,1.64,Software Engineering
478,67,87,PhD,1.5,Cybersecurity
479,46,53,PhD,0.32,Business Analytics
480,26,88,Master,0.47,Business Analytics
481,43,72,Bachelor,2.91,Software Engineering
482,18,7,Master,1.85,Business Analytics
483,45,73,PhD,3.29,Software Engineering
484,47,49,Bachelor,1.1,AI
485,20,89,PhD,2.46,AI
486,33,31,High School,0.4,AI
487,46,81,High School,0.98,AI
488,43,61,Bachelor,2.16,AI
489,26,69,Master,0.94,Business Analytics
490,38,78,Master,0.95,Software Engineering
491,60,71,Bachelor,1.65,Data Science
492,21,76,Bachelor,2.5,Cybersecurity
493,53,68,High School,3.89,Cybersecurity
494,68,72,Master,2.79,Cybersecurity
495,27,43,PhD,0.74,Business Analytics
496,48,35,Bachelor,1.2,Software Engineering
497,69,64,High School,2.25,Cybersecurity
498,53,72,Bachelor,1.55,Data Science
499,31,47,High School,3.69,Data Science
500,23,73,Bachelor,0.21,Cybersecurity
501,61,82,High School,3.49,Software Engineering
502,69,80,Bachelor,1.92,Data Science
503,37,6,Bachelor,3.75,AI
504,65,66,Bachelor,2.78,Software Engineering
505,43,35,Master,3.1,Cybersecurity
506,47,73,Master,1.23,Data Science
507,50,68,PhD,0.39,Cybersecurity
508,66,45,Bachelor,1.48,Cybersecurity
509,20,77,Bachelor,2.97,AI
510,34,75,PhD,1.18,Software Engineering
511,39,34,PhD,2.28,Software Engineering
512,49,75,Master,1.03,Cybersecurity
513,64,87,PhD,1.84,Data Science
514,28,22,PhD,0.74,Business Analytics
515,59,12,High School,3.36,AI
516,70,90,High School,3.06,Cybersecurity
517,26,85,Bachelor,0.27,Software Engineering
518,18,32,PhD,1.49,Business Analytics
519,58,90,PhD,2.64,AI
520,18,73,PhD,0.05,Business Analytics
521,64,40,Master,0.07,Cybersecurity
522,69,27,High School,3.67,Business Analytics
523,27,35,Bachelor,2.48,Data Science
524,70,50,Master,3.18,AI
525,41,56,PhD,2.26,Software Engineering
526,37,92,High School,2.61,AI
527,23,56,PhD,1.51,Cybersecurity
528,21,86,High School,2.81,AI
529,49,60,Master,2.26,AI
530,51,10,Bachelor,0.85,Business Analytics
531,48,39,High School,3.7,Data Science
532,52,77,High School,0.72,Data Science
533,19,31,Bachelor,3.01,Cybersecurity
534,22,43,Bachelor,2.26,Business Analytics
535,42,91,Master,1.54,Software Engineering
536,68,93,High School,2.0,Data Science
537,21,17,PhD,0.93,AI
538,39,82,PhD,3.88,Data Science
539,19,86,Master,3.13,Cybersecurity
540,49,34,Master,2.21,Cybersecurity
541,45,28,PhD,0.34,Business Analytics
542,36,36,High School,0.33,Software Engineering
543,42,96,Bachelor,2.96,Data Science
544,41,18,High School,0.02,Data Science
545,46,51,Master,0.41,AI
546,29,60,PhD,2.23,Business Analytics
547,44,18,High School,0.36,Business Analytics
548,23,81,Master,3.45,AI
549,36,57,PhD,3.12,Business Analytics
550,33,78,Bachelor,2.74,Software Engineering
551,26,39,Master,1.07,Software Engineering
552,22,26,PhD,1.1,Data Science
553,48,14,Master,1.01,Software Engineering
554,64,85,PhD,2.38,Software Engineering
555,47,18,Bachelor,1.22,Cybersecurity
556,39,84,PhD,3.22,Data Science
557,46,47,PhD,3.26,Business Analytics
558,26,43,Master,2.41,Software Engineering
559,48,45,Bachelor,3.86,Data Science
560,36,99,PhD,3.87,Software Engineering
561,38,53,Master,3.27,Cybersecurity
562,41,19,Bachelor,2.37,Business Analytics
563,29,92,High School,3.81,Cybersecurity
564,63,31,PhD,3.19,AI
565,70,57,PhD,0.56,Data Science
566,33,37,Bachelor,2.86,Cybersecurity
567,22,62,PhD,2.33,Business Analytics
568,50,93,PhD,2.17,Data Science
569,62,73,High School,0.44,Software Engineering
570,60,90,Master,0.67,Business Analytics
571,20,77,PhD,3.87,Data Science
572,68,60,High School,0.04,Data Science
573,32,70,Bachelor,1.78,Cybersecurity
574,47,91,Bachelor,1.38,AI
575,48,18,Master,1.66,AI
576,25,98,Bachelor,1.39,Data Science
577,47,31,PhD,1.39,AI
578,46,97,PhD,1.28,Data Science
579,20,95,High School,0.09,Data Science
580,59,18,Bachelor,3.72,Software Engineering
581,51,27,Bachelor,1.32,Cybersecurity
582,47,34,PhD,2.52,Software Engineering
583,58,89,PhD,1.58,Business Analytics
584,30,62,PhD,1.56,Software Engineering
585,31,40,High School,2.31,Business Analytics
586,29,51,Master,0.79,AI
587,34,90,PhD,2.11,Data Science
588,56,54,PhD,2.35,Data Science
589,40,63,Bachelor,3.25,Data Science
590,57,80,High School,2.69,Data Science
591,25,35,Master,0.47,Data Science
592,62,23,PhD,1.67,Software Engineering
593,54,54,PhD,0.74,Business Analytics
594,62,87,Bachelor,2.22,Cybersecurity
595,36,22,Bachelor,1.26,Cybersecurity
596,57,11,Master,3.81,Cybersecurity
597,26,29,PhD,3.86,Business Analytics
598,59,68,PhD,2.74,Cybersecurity
599,63,61,PhD,0.67,Business Analytics
600,19,33,Master,0.13,Software Engineering
601,52,41,Bachelor,3.12,Business Analytics
602,65,68,High School,2.29,Data Science
603,67,74,Master,2.17,AI
604,66,97,PhD,2.19,Cybersecurity
605,24,99,Bachelor,1.19,AI
606,46,38,Master,3.45,AI
607,46,20,Bachelor,0.84,Business Analytics
608,62,49,PhD,0.66,Software Engineering
609,68,31,Bachelor,3.22,Business Analytics
610,40,73,Master,2.39,Software Engineering
611,38,95,Master,1.16,Data Science
612,50,91,High School,0.54,Cybersecurity
613,21,40,Bachelor,2.81,Software Engineering
614,33,23,Master,3.31,Cybersecurity
615,49,23,Master,2.51,Cybersecurity
616,46,14,High School,1.61,Data Science
617,62,52,PhD,3.8,Data Science
618,55,5,High School,2.92,Cybersecurity
619,58,90,Master,3.4,Business Analytics
620,43,32,PhD,3.3,Cybersecurity
621,35,46,Master,1.35,Business Analytics
622,26,77,PhD,3.15,AI
623,20,17,PhD,0.07,Software Engineering
624,46,63,High School,3.97,Cybersecurity
625,30,93,Bachelor,3.53,Data Science
626,28,40,High School,2.62,Data Science
627,23,52,Bachelor,0.21,Data Science
628,64,94,Bachelor,1.72,AI
629,63,17,High School,0.85,AI
630,26,80,Bachelor,2.08,Cybersecurity
631,18,6,Master,3.27,Cybersecurity
632,62,21,PhD,0.28,Cybersecurity
633,23,98,High School,0.41,Data Science
634,37,22,PhD,3.09,Software Engineering
635,59,91,Bachelor,0.27,Business Analytics
636,18,83,Bachelor,1.76,Software Engineering
637,58,100,Bachelor,3.68,Business Analytics
638,61,61,Bachelor,0.35,AI
639,26,20,PhD,1.41,Cybersecurity
640,38,22,Bachelor,1.11,AI
641,33,75,Master,3.12,AI
642,60,43,Bachelor,2.07,Business Analytics
643,30,100,PhD,1.18,AI
644,68,35,PhD,1.54,Software Engineering
645,49,86,High School,2.11,AI
646,41,45,Bachelor,1.55,Business Analytics
647,44,51,Bachelor,3.05,AI
648,19,80,High School,0.06,Software Engineering
649,20,12,PhD,2.03,Business Analytics
650,67,58,PhD,2.81,AI
651,58,73,Bachelor,1.11,Data Science
652,23,70,Bachelor,3.9,Software Engineering
653,52,46,PhD,2.35,AI
654,37,94,PhD,2.92,Software Engineering
655,21,36,High School,3.7,AI
656,47,83,High School,1.24,Software Engineering
657,25,6,Bachelor,2.81,Software Engineering
658,49,49,Master,0.67,Software Engineering
659,65,39,High School,3.09,AI
660,39,59,Master,2.1,Data Science
661,63,78,High School,1.98,Business Analytics
662,41,12,PhD,3.44,Software Engineering
663,41,25,Master,3.09,Business Analytics
664,61,97,High School,0.91,Business Analytics
665,18,10,High School,0.98,Cybersecurity
666,41,54,Bachelor,0.72,AI
667,53,96,PhD,0.9,Software Engineering
668,44,97,Master,1.09,AI
669,54,52,High School,2.01,AI
670,29,33,High School,3.82,AI
671,47,41,Master,1.31,Business Analytics
672,47,6,Master,0.8,Business Analytics
673,68,43,Bachelor,1.86,Business Analytics
674,49,30,Bachelor,0.6,Cybersecurity
675,19,34,Master,2.54,AI
676,39,5,PhD,3.4,Data Science
677,24,31,Bachelor,1.68,AI
678,27,96,Master,0.37,Software Engineering
679,51,57,Master,1.83,AI
680,55,17,Bachelor,2.55,Cybersecurity
681,22,80,High School,1.74,Software Engineering
682,33,42,Master,3.4,Cybersecurity
683,62,99,Master,1.27,Data Science
684,32,14,Bachelor,0.54,Business Analytics
685,24,24,High School,0.66,Cybersecurity
686,38,57,High School,2.14,Software Engineering
687,46,44,PhD,1.06,AI
688,23,25,Master,3.31,Business Analytics
689,20,32,Master,0.59,Software Engineering
690,40,55,High School,2.71,Data Science
691,70,27,High School,3.81,Cybersecurity
692,53,100,Bachelor,0.38,AI
693,69,22,High School,0.05,Software Engineering
694,26,30,PhD,1.49,AI
